,number,value,datetime_start,datetime_complete,duration,params_max_depth,params_n_estimators,params_rf_max_features,params_rf_max_samples,params_rf_min_samples_leaf,params_rf_min_samples_split,state
0,0,0.8668549571443306,2020-12-30 06:50:43.853833,2020-12-30 06:50:58.592882,0 days 00:00:14.739049,11.905851853917166,1440,auto,0.8013970802412335,4,4,COMPLETE
1,1,0.8691707969459302,2020-12-30 06:50:58.595732,2020-12-30 06:51:08.507200,0 days 00:00:09.911468,35.341085290185056,1850,sqrt,0.8620878256890001,2,14,COMPLETE
2,2,0.8340348591733574,2020-12-30 06:51:08.511327,2020-12-30 06:51:11.679747,0 days 00:00:03.168420,23.423739305393465,610,sqrt,0.6251420224869979,13,11,COMPLETE
3,3,0.8407825302679242,2020-12-30 06:51:11.681101,2020-12-30 06:51:19.160859,0 days 00:00:07.479758,12.754498945598232,1520,log2,0.7408940319431963,12,5,COMPLETE
4,4,0.8587623354068858,2020-12-30 06:51:19.163095,2020-12-30 06:51:26.840936,0 days 00:00:07.677841,15.9925945537215,1500,sqrt,0.7307239462884128,6,4,COMPLETE
5,5,0.8664161733511463,2020-12-30 06:51:26.844209,2020-12-30 06:51:36.260186,0 days 00:00:09.415977,95.10945598205704,1750,sqrt,0.8996878922518692,4,13,COMPLETE
6,6,0.8374638237270875,2020-12-30 06:51:36.264884,2020-12-30 06:51:44.196782,0 days 00:00:07.931898,14.336929692445143,1610,sqrt,0.8085504017693992,14,11,COMPLETE
7,7,0.8756068164709708,2020-12-30 06:51:44.198343,2020-12-30 06:51:53.783785,0 days 00:00:09.585442,12.766839994223233,1730,log2,0.7292085954559625,2,6,COMPLETE
8,8,0.8683057443656755,2020-12-30 06:51:53.788244,2020-12-30 06:52:01.935742,0 days 00:00:08.147498,14.05599722644177,1460,log2,0.8215069392299759,4,5,COMPLETE
9,9,0.869202701389507,2020-12-30 06:52:01.937224,2020-12-30 06:52:07.991138,0 days 00:00:06.053914,41.12206190743817,1110,sqrt,0.8813726511763225,4,5,COMPLETE
10,10,0.8423392058620696,2020-12-30 06:52:07.993153,2020-12-30 06:52:10.227190,0 days 00:00:02.234037,59.71741373848827,430,log2,0.6038478516357126,10,8,COMPLETE
11,11,0.8798249626458774,2020-12-30 06:52:10.229227,2020-12-30 06:52:16.248645,0 days 00:00:06.019418,39.425233887852066,960,log2,0.953181602757917,1,7,COMPLETE
12,12,0.8790415034838915,2020-12-30 06:52:16.252678,2020-12-30 06:52:22.193994,0 days 00:00:05.941316,23.062424240211772,980,log2,0.9569656579997053,1,8,COMPLETE
13,13,0.8560489758468393,2020-12-30 06:52:22.198320,2020-12-30 06:52:26.934776,0 days 00:00:04.736456,24.024212283794323,890,log2,0.9756238695761986,8,8,COMPLETE
14,14,0.8692756834831407,2020-12-30 06:52:26.936405,2020-12-30 06:52:37.852260,0 days 00:00:10.915855,53.133660297966124,1030,auto,0.9774149716596934,1,10,COMPLETE
15,15,0.8837364518419806,2020-12-30 06:52:37.856462,2020-12-30 06:52:43.274302,0 days 00:00:05.417840,23.015285454833016,750,log2,0.934681074784192,1,2,COMPLETE
16,16,0.8591470032549952,2020-12-30 06:52:43.275892,2020-12-30 06:52:47.159503,0 days 00:00:03.883611,29.10325022148633,720,log2,0.9284607956114823,7,2,COMPLETE
17,17,0.8822870248945565,2020-12-30 06:52:47.161465,2020-12-30 06:52:49.237099,0 days 00:00:02.075634,83.40052261778447,280,log2,0.9287819762718172,1,2,COMPLETE
18,18,0.8692683039853607,2020-12-30 06:52:49.239293,2020-12-30 06:52:52.148006,0 days 00:00:02.908713,93.62599977056826,260,auto,0.915434974963936,3,2,COMPLETE
19,19,0.8507644611801478,2020-12-30 06:52:52.151386,2020-12-30 06:52:53.504855,0 days 00:00:01.353469,71.20549237816174,210,log2,0.8590848585868972,9,2,COMPLETE
20,20,0.862617027914986,2020-12-30 06:52:53.506235,2020-12-30 06:52:56.120102,0 days 00:00:02.613867,17.794141876357376,450,log2,0.9896625855955399,6,3,COMPLETE
21,21,0.8806733028132774,2020-12-30 06:52:56.122522,2020-12-30 06:53:03.631279,0 days 00:00:07.508757,42.123687177200715,1240,log2,0.9447151044780058,1,7,COMPLETE
22,22,0.8787838197698891,2020-12-30 06:53:03.636076,2020-12-30 06:53:11.252699,0 days 00:00:07.616623,78.65002634108998,1250,log2,0.9305231185477197,2,3,COMPLETE
23,23,0.8827994168685334,2020-12-30 06:53:11.257806,2020-12-30 06:53:19.536983,0 days 00:00:08.279177,48.59149390674195,1290,log2,0.8630762661055512,1,3,COMPLETE
24,24,0.8735520434112555,2020-12-30 06:53:19.538580,2020-12-30 06:53:23.614740,0 days 00:00:04.076160,52.6007200549032,720,log2,0.8425678533245841,3,3,COMPLETE
25,25,0.8738134691655667,2020-12-30 06:53:23.620739,2020-12-30 06:53:30.535843,0 days 00:00:06.915104,30.236129391106147,1230,log2,0.8880435173583998,3,2,COMPLETE
26,26,0.8637262318507372,2020-12-30 06:53:30.537557,2020-12-30 06:53:32.800779,0 days 00:00:02.263222,19.691092944687423,410,log2,0.7684273734124805,5,4,COMPLETE
27,27,0.8717879325017815,2020-12-30 06:53:32.802382,2020-12-30 06:53:42.421300,0 days 00:00:09.618918,71.57882067800098,850,auto,0.9039076180317172,2,3,COMPLETE
28,28,0.8828562359821034,2020-12-30 06:53:42.425619,2020-12-30 06:53:46.689310,0 days 00:00:04.263691,54.46978996121499,600,log2,0.8387366694602045,1,2,COMPLETE
29,29,0.8696738642660792,2020-12-30 06:53:46.691197,2020-12-30 06:53:52.442764,0 days 00:00:05.751567,53.92595711581414,580,auto,0.7901547975124297,3,4,COMPLETE
30,30,0.8620423173276283,2020-12-30 06:53:52.445891,2020-12-30 06:53:56.446654,0 days 00:00:04.000763,46.19378879719738,750,log2,0.6844414288913915,5,6,COMPLETE
31,31,0.8802419782028821,2020-12-30 06:53:56.451511,2020-12-30 06:53:58.538876,0 days 00:00:02.087365,10.14439355928657,310,log2,0.837777826852524,1,2,COMPLETE
32,32,0.878424383114953,2020-12-30 06:53:58.541614,2020-12-30 06:54:01.948995,0 days 00:00:03.407381,33.88334160071964,550,log2,0.8650628552577894,2,3,COMPLETE
33,33,0.8836461822952909,2020-12-30 06:54:01.952510,2020-12-30 06:54:16.013846,0 days 00:00:14.061336,65.05963279093251,2000,log2,0.8727397576657789,1,2,COMPLETE
34,34,0.8784595948820669,2020-12-30 06:54:16.015550,2020-12-30 06:54:27.795941,0 days 00:00:11.780391,61.105156372631924,1990,log2,0.8677445797709049,2,4,COMPLETE
35,35,0.8832671356357741,2020-12-30 06:54:27.797669,2020-12-30 06:54:40.336423,0 days 00:00:12.538754,66.02243212027413,1990,log2,0.8386874598925108,1,3,COMPLETE
36,36,0.8443922201589428,2020-12-30 06:54:40.340777,2020-12-30 06:54:50.190063,0 days 00:00:09.849286,65.35684528309754,1970,log2,0.7873082360444669,11,4,COMPLETE
37,37,0.873130964181608,2020-12-30 06:54:50.195418,2020-12-30 06:55:00.666249,0 days 00:00:10.470831,26.22061787477265,1890,log2,0.8178644226989578,3,2,COMPLETE
38,38,0.8608310562496674,2020-12-30 06:55:00.667811,2020-12-30 06:55:09.608093,0 days 00:00:08.940282,85.38279729804721,1760,sqrt,0.7592115504206719,5,14,COMPLETE
39,39,0.8774166116644468,2020-12-30 06:55:09.612741,2020-12-30 06:55:13.382733,0 days 00:00:03.769992,98.27454985310517,620,log2,0.840256490070528,2,5,COMPLETE
40,40,0.8692967362655923,2020-12-30 06:55:13.384496,2020-12-30 06:55:22.162260,0 days 00:00:08.777764,20.55413981720636,1600,log2,0.8886568900736082,4,3,COMPLETE
41,41,0.8832501826446633,2020-12-30 06:55:22.166801,2020-12-30 06:55:33.469765,0 days 00:00:11.302964,48.217941503796645,1810,log2,0.8455076764616903,1,3,COMPLETE
42,42,0.8835007422681199,2020-12-30 06:55:33.471282,2020-12-30 06:55:46.445682,0 days 00:00:12.974400,35.86803796594232,1910,log2,0.824155928207775,1,2,COMPLETE
43,43,0.8777130178157106,2020-12-30 06:55:46.447246,2020-12-30 06:55:57.273225,0 days 00:00:10.825979,37.95162086989624,1840,log2,0.8095665302510566,2,4,COMPLETE
44,44,0.8770693386122161,2020-12-30 06:55:57.280524,2020-12-30 06:56:08.373912,0 days 00:00:11.093388,34.0870753261231,1950,sqrt,0.7838068450300119,2,5,COMPLETE
45,45,0.8380657806193281,2020-12-30 06:56:08.378485,2020-12-30 06:56:16.525294,0 days 00:00:08.146809,46.012959245907716,1680,log2,0.83073900084248,14,3,COMPLETE
46,46,0.881032731507028,2020-12-30 06:56:16.527372,2020-12-30 06:56:27.343684,0 days 00:00:10.816312,28.22732250719292,1840,log2,0.902869749935754,1,6,COMPLETE
47,47,0.8695636510138343,2020-12-30 06:56:27.350638,2020-12-30 06:56:34.911307,0 days 00:00:07.560669,62.95671515837753,1390,log2,0.8042142380518649,3,10,COMPLETE
48,48,0.882259330112082,2020-12-30 06:56:34.912909,2020-12-30 06:56:46.583003,0 days 00:00:11.670094,37.37378782323331,1930,log2,0.8749886851697846,1,5,COMPLETE
49,49,0.8685801846065635,2020-12-30 06:56:46.584582,2020-12-30 06:56:56.271190,0 days 00:00:09.686608,69.32497399514378,1790,sqrt,0.850271544556253,4,2,COMPLETE
50,50,0.8664759771907194,2020-12-30 06:56:56.272780,2020-12-30 06:57:11.764367,0 days 00:00:15.491587,57.29252985584331,1660,auto,0.8250415283345697,2,12,COMPLETE
51,51,0.8834489166142779,2020-12-30 06:57:11.765967,2020-12-30 06:57:17.459536,0 days 00:00:05.693569,43.73904326456524,810,log2,0.8522270880496345,1,2,COMPLETE
52,52,0.8836365732203948,2020-12-30 06:57:17.461525,2020-12-30 06:57:23.277468,0 days 00:00:05.815943,42.58104695069998,830,log2,0.8827913244281952,1,2,COMPLETE
53,53,0.8780685798070645,2020-12-30 06:57:23.279021,2020-12-30 06:57:28.153521,0 days 00:00:04.874500,41.4962650457696,790,log2,0.888141473266912,2,2,COMPLETE
